Artist,Album,Type,Year,Physical,Digital,Discogs,Quantity,Date Aquired,Notes
Apollo,Mine Damer Og Herrer,LP,2002,FALSE,FALSE,TRUE,,,
Apollo,Sperra Inne,12’’,2002,FALSE,FALSE,TRUE,,,
Apollo,Mine Damer Og Herrer,CD,2002,TRUE,FALSE,FALSE,,,
Apollo,Svake Mennesker,CDS,2002,TRUE,FALSE,FALSE,,,
Apollo,Sperra Inne,CDS,2002,TRUE,FALSE,FALSE,,,
Bad Spit,Sure Oppstøt,EP 12’’,2002,FALSE,FALSE,TRUE,,,
Big Paulie,Give Me A Break! – Paulie’s R&B Classics,Mixtape,2002,FALSE,FALSE,TRUE,,,
Big Paulie,Holla At A Playa,Mixtape,2002,FALSE,FALSE,FALSE,,,
Big Paulie,Presents: Kleen Cut No. 1 Draft Pick,Mixtape,2002,FALSE,FALSE,FALSE,,,
DIaz,Stikking,CDS,2002,TRUE,FALSE,FALSE,,,
Dirty Oppland,Demo,Demo CD,2002,FALSE,FALSE,FALSE,,,
Diverse artister,Unite – Four Elements – One State of Mind,,2002,FALSE,FALSE,FALSE,,,
Don Martin,Radio Alarmclock EP,CD,2002,TRUE,FALSE,FALSE,,,
Don Tomaso,Godfader vol. 1,Mixape/demo/samle,2002,FALSE,FALSE,FALSE,,,
Equicez,Live From Pass It,12’’,2002,FALSE,FALSE,TRUE,,,
Equicez,Negative Kids,12’’,2002,FALSE,FALSE,TRUE,,,
Equicez,Live From Pass It,CDS,2002,TRUE,FALSE,FALSE,2,,
Equicez,Negative Kids,CDS,2002,TRUE,FALSE,FALSE,,,
Fade & Paddywax,Oslo State Of Mind,Mixtape,2002,FALSE,FALSE,FALSE,,,
Fade & Paddywax,Oslo State Of Mind,,,,,,,,
Fat Shit,Volume II,Mixtape,2002,FALSE,FALSE,FALSE,,,
Folk Og Røvere,Utadæsjælopplevelse,CD,2002,FALSE,FALSE,FALSE,,,
Freakshow,Buy This Record,12’’,2002,TRUE,FALSE,FALSE,,,
Fremmed Rase,Fem Flate Øre,12’’ / CDS,2002,FALSE,FALSE,FALSE,,,
Fremmed Rase,Fem flate øre,CD / 12”,2002,FALSE,FALSE,FALSE,,,
Gatas Parlament,Holdning Over Underholdning,CD,2002,TRUE,FALSE,FALSE,2,,
Gatas Parlament,Nå Om Da'n,CDS,2002,TRUE,FALSE,FALSE,,,
GODS,Bovak,7”,2002,FALSE,FALSE,FALSE,,,
Herreløse,Demo III,Demo CD,2002,FALSE,FALSE,FALSE,,,
Jester,Gladiators/November,12’’,2002,FALSE,FALSE,FALSE,,,
Jester,Gladiators,12’’,2002,TRUE,FALSE,FALSE,,,
Ken-E,Foreplay,Mixape/demo/samle,2002,FALSE,FALSE,FALSE,,,
Killah Mac,Woman Problems,CDS,2002,FALSE,FALSE,FALSE,,,
Mojo & He-Man,I Am Somebody,12’’,2002,FALSE,FALSE,FALSE,,,
Mojo & He-Man,I Am Somebody,CD,2002,FALSE,FALSE,FALSE,,,
Nutsons,The Sleaze Cheesebourg EP,12’’,2002,FALSE,FALSE,FALSE,,,
Opaque,Finally Here,CDS,2002,TRUE,FALSE,FALSE,2,,
Oral Bee,Gangsta Gangsta,CD,2002,FALSE,FALSE,FALSE,,,
Oral Bee,Ustoppelig,CD BRENT,2002,FALSE,FALSE,FALSE,,,
Oral Bee,Seriemorder,Promo CDS,2002,TRUE,FALSE,FALSE,,,
Paperboys,Duets,Promo CD,2002,FALSE,FALSE,FALSE,,,
Paperboys,Barcelona remixed,CDS,2002,TRUE,FALSE,FALSE,2,,
Paperboys,Duets,CDS,2002,TRUE,FALSE,FALSE,2,,
Paperboys,Barcelona,CDS,2002,TRUE,FALSE,FALSE,,,
Paperboys,Find My Way,CDS,2002,TRUE,FALSE,FALSE,,,
Paperboys,Find My Way The Remix,CDS,2002,TRUE,FALSE,FALSE,,,
Paperboys,No Cure For Life,CD,2002,TRUE,FALSE,FALSE,,,
Paperboys,No Cure For Life (International Version),CD,2002,TRUE,FALSE,FALSE,,,
Paperboys,Feel It,CDS,2002,TRUE,FALSE,FALSE,,,
Pionero Pando,Pionero Pando (Cuba) & DJ Fade (Norway),Mixape/demo/samle,2002,FALSE,FALSE,FALSE,,,
Quest Productions,One Single Action,EP CD,2002,FALSE,FALSE,FALSE,,,
Quest Productions,One Single Action EP,CD,2002,FALSE,FALSE,FALSE,,,
Raggabalder,Ramsalt Ragga Volum 2,Mixape/demo/samle,2002,FALSE,FALSE,FALSE,,,
Side Brok,Side Brok EP,CD,2002,FALSE,FALSE,FALSE,,,
Silent Forces & Shahzad,Når rap møter banghra,CD,2002,FALSE,FALSE,FALSE,,,
Son Of Light,The Homecoming (A Return To Family Values),EP CD,2002,TRUE,FALSE,FALSE,,,
Spetakkel,Opp Av Bekkalokket,CDS,2002,FALSE,FALSE,FALSE,,,
Spetakkel,Opp av bekkalokket EP,CD,2002,FALSE,FALSE,FALSE,,,
Stress.no/Carhartt,Vol. 5: Westside Stories,Mixtape,2002,TRUE,FALSE,FALSE,2,,
T-Fuzz,Trond Solo Mugge 2002,Mixape/demo/samle,2002,FALSE,FALSE,FALSE,,,
The Fifty 50 Bunch,The Fifty 50 Bunch,Mixtape,2002,FALSE,FALSE,TRUE,,,
The Nutsons,The Sleaze Cheesebourg EP,12’’,2002,FALSE,FALSE,FALSE,,,
To små karer,Payback Time,CDS,2002,FALSE,FALSE,FALSE,,,
Tommy Tee,H.E.A.T. Volume 1,Mixtape,2002,FALSE,FALSE,FALSE,,,
Tommy Tee,H.E.A.T. Volume 2,Mixtape,2002,FALSE,FALSE,FALSE,,,
Tommy Tee,H.E.A.T. Volume 3,Mixtape,2002,FALSE,FALSE,FALSE,,,
Tommy Tee,What’s Your Name,12’’,2002,TRUE,FALSE,FALSE,,,
Tungtvann,Pøbla,12’’,2002,FALSE,FALSE,FALSE,,,
Tungtvann,Bransjehora,CDS,2002,TRUE,FALSE,FALSE,2,,
Tungtvann,Mørketid,CD,2002,TRUE,FALSE,FALSE,,,
Tungtvann,Mørketid,CD PROMO?,2002,TRUE,FALSE,FALSE,,,
Tungtvann,Påfyll,EP CD,2002,TRUE,FALSE,FALSE,,,
Tungtvann,Pøbla,CDS,2002,TRUE,FALSE,FALSE,,,
Ubåt,Landlov,CD EP,2002,TRUE,FALSE,FALSE,,,
Unity P.O.S.A,Udvikling T Einhed,Demo CD,2002,FALSE,FALSE,FALSE,,,
Våt Sopp,Nyfresha Lyrikk,EP CD,2002,FALSE,FALSE,FALSE,,,
Warlocks,Ha!Ha!Ha!,CDS,2002,FALSE,FALSE,FALSE,,,
Whimsical,My Rhymes,CDS,2002,FALSE,FALSE,FALSE,,,
Whimsical,My Rhymes,12’’,2002,FALSE,FALSE,FALSE,,,
Wof Crew (Wrist Of Fury),Out Of Sight,12’’,2002,TRUE,FALSE,FALSE,2,,
Andyboy,Hør Nå,Mixtape,2003,FALSE,FALSE,FALSE,,,
Andyboy,God Natt,EP CD,2003,TRUE,FALSE,FALSE,,3/3/2016,
Apollo,Hva Faan Tror’u?,Promo CD,2003,TRUE,FALSE,FALSE,,,
Bad Spit & Støgg Som Faen aka F-word,Diverse Demo Piss,Demo CD,2003,FALSE,FALSE,FALSE,,,
Beateliten,Beateliten,12’’,2003,FALSE,FALSE,FALSE,,,
Big Ice & Oral Bee,Da Playboy Foundation Compilation,CD,2003,TRUE,FALSE,FALSE,,,
Bønder I Kamp,Totengangstamotherfucker,CDS,2003,TRUE,FALSE,FALSE,,,
Chico Pato,Sigue Me’,12’’,2003,FALSE,FALSE,FALSE,,,
Chris Cash,Holla!,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Chris Cash & Boge Bandit,Gunz & Ammo,Mix,2003,FALSE,FALSE,FALSE,,,
Christine,Gi Faen,Promo CD,2003,FALSE,FALSE,FALSE,,,
Christine,Jenteinvasjon,CDS,2003,FALSE,FALSE,FALSE,,,
Christine,Knekt,CD,2003,TRUE,FALSE,TRUE,,,
Da D.O.N.S.,She Don’t Know My Game,CD,2003,FALSE,FALSE,FALSE,,,
Definite,Brynseng Bootlegs,,,,,,,,
Definite,Brynseng Bootlegs,,,,,,,,
Definite,Inkasso,EP CD,2003,FALSE,FALSE,TRUE,,,
Diaz,Hvem Er Denne Karen?,CDS,2003,TRUE,FALSE,FALSE,,,
Diaz,Jessheim,CDS,2003,TRUE,FALSE,FALSE,,,
Diaz,Velkommen Hjem Andres,CD,2003,TRUE,FALSE,FALSE,,,
Diverse artister,+47 hip hop – En introduksjon,CD,2003,FALSE,FALSE,TRUE,,,
Diverse artister,Join the Revolution – Prakka vol. 1,Mixtape,2003,FALSE,FALSE,TRUE,,,
Diverse artister,Kingsize CD Volume 1,CD,2003,FALSE,FALSE,TRUE,,,
Diverse artister,Kingsize CD Volume 2,CD,2003,TRUE,FALSE,FALSE,,,
DJ OP,Flipside,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
DJ White Shadow,Back To The True School/Retarded Loonatick Brakez,12’’,2003,FALSE,FALSE,FALSE,,,
Equicez,Barnslig,CDS,2003,FALSE,FALSE,TRUE,,,
Equicez,WE: Blind / Drekkalåta,CDS,2003,TRUE,FALSE,TRUE,,,
Equicez,State Of Emergency - Generation Equicez,CD,2003,TRUE,FALSE,FALSE,2,,
Equicez,Blind,CDS,2003,TRUE,FALSE,FALSE,,,
Evig Poesi,Drekka Melk EP,CDS,2003,FALSE,FALSE,FALSE,,,
Evig Poesi,Drekka Melk EP,12’’,2003,FALSE,FALSE,FALSE,,,
Fade & Paddywax,Oslo State Of Mind
Fremmed Rase,Pisspreik,CD,2003,FALSE,FALSE,FALSE,,,
Funkshed,Brynseng Bootlegs,,,,,,,,
GODS,Slentre,CD,2003,FALSE,FALSE,FALSE,,,
Guilty,Three Chosen One's,Demo CD,2003,FALSE,FALSE,FALSE,,,
Guilty,X-Mess,Demo CDS,2003,FALSE,FALSE,FALSE,,,
Guilty,X-Mess,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Hawk,Istid,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Hawk,The Drop,12’’,2003,FALSE,FALSE,FALSE,,,
Hawk,The Drop,CD,2003,FALSE,FALSE,FALSE,,,
Hawk & Bølla,Planet Follo – Springbreak,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Hella G,Det begynte med ein plan,,2003,FALSE,FALSE,FALSE,,,
Herr B.,Vi Entrer,12’’ / CDS,2003,FALSE,FALSE,TRUE,,,
Herreløse,Bong Gass,Demo CD,2003,FALSE,FALSE,TRUE,,,
House On The Hill,House On The Hill Mixtape,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Jaypea,Northside Ballers,Mixtape,2003,FALSE,FALSE,FALSE,,,
Jester,Beautiful Deacay,CD,2003,FALSE,FALSE,TRUE,,,
Jester,Brynseng Bootlegs,,,,,,,,
Jogi & Raggabalder/Nico Danjah Ras,Dekka bord/Legaliser,7’’,2003,FALSE,FALSE,FALSE,,,
Join The Revolution,Prakka Vol. 1,CD,2003,FALSE,FALSE,FALSE,,,
Just Productions,Just Productions Mixtape,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Jaa9 & Onkl P,Bondegramatikk The Mixtape,Mix CD,2003,TRUE,FALSE,FALSE,,,
Kenneth,Svart & Hvitt,EP CD,2003,FALSE,FALSE,FALSE,,,
Kenneth,Svart & hvitt EP,CD / 12”,2003,FALSE,FALSE,FALSE,,,
Killah Mac,Woman Problems,CD,2003,FALSE,FALSE,FALSE,,,
KingSize,Volume 1,CD,2003,FALSE,FALSE,FALSE,,,
KingSize,Volume 2,CD,2003,FALSE,FALSE,FALSE,,,
Kleen Cut,No. 1 Draft Pick,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Klovner I Kamp,Fritt Vilt,12’’ / CDS,2003,FALSE,FALSE,FALSE,,,
Klovner I Kamp,Fritt vilt EP,CD,2003,TRUE,FALSE,TRUE,,,
Klovner I Kamp,Kunsten Å Fortelle,CD,2003,TRUE,FALSE,TRUE,,,
Kohinoor,Local Anaesthetic EP,CD,2003,FALSE,FALSE,FALSE,,,
Langrenn Allstars,Langrenn,CD,2003,FALSE,FALSE,FALSE,,,
Lukket Avdeling,En lukket verden,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Mad Importance,Important Madness,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Magnetisk Nord,Tinglysing EP,12’’ / CD,2003,FALSE,FALSE,FALSE,,,
Magnetisk Nord,Tinglysing EP,CD,2003,FALSE,FALSE,FALSE,,,
Maylay Sparks,Legend In My Own Mind,CD,2003,FALSE,FALSE,FALSE,,,
Nasty Kutt,Politrixx,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Oslo Fluid,12 Fluid Ounces,CD,2003,TRUE,FALSE,FALSE,,,
Paperboys,On The Low/Hey Man (Special Limited Video Version),CDS,2003,FALSE,FALSE,FALSE,,,
Paperboys,What You Need / Bad Woman,Promo 12’’,2003,FALSE,FALSE,FALSE,,,
Paperboys,On The Low,CDS,2003,TRUE,FALSE,FALSE,,,
Paperboys,What U Need,CDS,2003,TRUE,FALSE,FALSE,,,
Paperboys,The Great Escape,CD,2003,TRUE,FALSE,FALSE,2,,
Pay Per View Crew,Demo,CD,2003,FALSE,FALSE,FALSE,,,
Pay Per View Crew,Pay Per View Crew,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
PIT,Power Integrity Tolerance,CD,2003,TRUE,FALSE,FALSE,,,
Planet Follo,Spring Break,Mix CD,2003,FALSE,FALSE,FALSE,,,
Planet Follo,Istid,Mixtape,2003,TRUE,FALSE,FALSE,,,
Point,Demo'n,Demo CD,2003,FALSE,FALSE,FALSE,,,
Quest,Presents Quest Vol. 1,,2003,FALSE,FALSE,FALSE,,,
Quest,Quest Vol. 1,CD,2003,FALSE,FALSE,FALSE,,,
Raggabalder,Ramsalt Ragga Volum 2,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Ravi & DJ Løv,Nok en aka Jorboer del II,CD,2003,FALSE,FALSE,FALSE,,,
Samlealbum,+47 Hip Hop - En Introduksjon,CD,2003,FALSE,FALSE,FALSE,,,
Samsaya,Pure To Me,CD,2003,FALSE,FALSE,FALSE,,,
Sander,Vi tar det som det kommer,CD,2003,FALSE,FALSE,FALSE,,,
Side Brok,1. 2. 3. fyre,CD,2003,FALSE,FALSE,FALSE,,,
Side Brok,1. 2. 3. fyre,CDS,2003,TRUE,FALSE,FALSE,,,
Spetakkel,Spetakkel,CD,2003,TRUE,FALSE,FALSE,,,
Stigiwondah,DEMOReALISERING,Demo CD,2003,FALSE,FALSE,FALSE,,,
Stress.no/Carhartt,Vol. 6: Tommy Tee – Girls Girls Girls,Mixtape,2003,TRUE,FALSE,FALSE,,,
Svartelisten,Svartelisten EP,12’’ / CD,2003,FALSE,FALSE,FALSE,,,
T-Fuzz,Trond Solo Mugge 2003,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Taktløs,Norsk Muntlig,CD,2003,FALSE,FALSE,FALSE,,,
Taktløs,Norsk muntlig,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Teddy Touch,Goodvibes,Mix CD,2003,FALSE,FALSE,FALSE,,,
Teddy Touch,Teddyville,Mix CD,2003,FALSE,FALSE,FALSE,,,
Teddy Touch,Teddyville,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Teddy Touch/Mista Machine Smith,Goodvibes vol. 1,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Terminator André & Ragnar Fela,Urban folkemusikk vol. 1,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
The Fifty 50 Bunch,Unreleased,Demo,2003,FALSE,FALSE,FALSE,,,
The Nutsons,The Sleaze Cheesebourg EP,CDS,2003,FALSE,FALSE,FALSE,,,
The R.I.S.E. Project,All About The Benjamins,CD,2003,FALSE,FALSE,FALSE,,,
The R.I.S.E. Project,Maroon,CD,2003,TRUE,FALSE,FALSE,,,
Thirsty Fishes,Mixtape Vol. 1,Mixtape,2003,FALSE,FALSE,FALSE,,,
To små karer,Oss små imellom,,2003,FALSE,FALSE,FALSE,,,
To små karer,Reality-tv,CDS,2003,FALSE,FALSE,FALSE,,,
To små karer,Shit så kaldt det er,CDS,2003,FALSE,FALSE,FALSE,,,
To små karer,Drømmer om et sted,CDS,2003,TRUE,FALSE,FALSE,,,
Tommy Orion,Pure Sound,Mixape/demo/samle,2003,FALSE,FALSE,FALSE,,,
Tommy Tee,H.E.A.T. Volume 4,Mixtape,2003,FALSE,FALSE,FALSE,,,
Tommy Tee,H.E.A.T. Volume 5,Mixtape,2003,TRUE,FALSE,FALSE,,,
URO,Frank Schwindel Presenterer URO,CD EP,2003,TRUE,FALSE,FALSE,,,
Våt Sopp,Kompakt Tilrettelagt,CDA,2003,TRUE,FALSE,TRUE,,,
Winta,Emotions,CD,2003,FALSE,FALSE,FALSE,,,
Winta,Trippin’,CD,2003,TRUE,FALSE,FALSE,,,
Winta,Trippin’,LP,2003,TRUE,FALSE,FALSE,,,
Wolverine,Mixdisc Volum 1: Mareks Enterprises,Mixtape,2003,FALSE,FALSE,FALSE,,,
3 Vise Menn,3 Vise Menn Demo,Demo CD,2004,TRUE,FALSE,FALSE,,,
Alarmclock Connection,2xH Exclusive Mixtape,Mixtape,2004,FALSE,FALSE,FALSE,,,
Andyboy,Tic Tic,CDS,2004,FALSE,FALSE,FALSE,,,
Apollo,Satans Sirkus,CD,2004,FALSE,FALSE,TRUE,,,
Apparatus,Fear Of Frying,EP CD,2004,FALSE,FALSE,FALSE,,,
Appendix,Ungdommen Nå Til Dags,EP CD,2004,FALSE,FALSE,TRUE,,,
Bad Spit,Bag Full Av Våpen - Hodet Fullt Av Dataspill,CD,2004,FALSE,FALSE,TRUE,,,
Big Op,Flipside,Mixtape,2004,FALSE,FALSE,FALSE,,,
Big Paulie,Give Dem A Run! – Dancehall Classics Volume One,Mixtape,2004,FALSE,FALSE,FALSE,,,
Cam'N A-lee,Cam'N A-lee Demo,Demo CD,2004,FALSE,FALSE,FALSE,,,
Daniele,Minste Gulingen,Demo CD,2004,FALSE,FALSE,FALSE,,,
Dirty Oppland,Dette Er En Promo,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Dirty Oppland,Greatest Hits Demo,Demo CD,2004,TRUE,FALSE,FALSE,,,
DJ Fade & Paddywax,Oslo State of Mind,,,,,,,,
DJ Kaffka,Aprmt's Sommerkassett 1,Mixtape,2004,FALSE,FALSE,FALSE,,,
Dose,Dose,,2004,FALSE,FALSE,FALSE,,,
DVD & Sirius,Coffee & Beer,CD,2004,FALSE,FALSE,FALSE,,,
Fade & Paddywax,Oslo State Of Mind,,,,,,,,
Freakshow,We Are The Champions,Mixtape,2004,FALSE,FALSE,FALSE,,,
Gatas Parlament,Bombefly/Rackers Delight,CD,2004,FALSE,FALSE,FALSE,,,
Gatas Parlament,Bootlegs. B-sider & Bestiser,Mixtape,2004,TRUE,FALSE,FALSE,,,
Gatas Parlament,Fred. Frihet & Alt Gratis,CD,2004,TRUE,FALSE,FALSE,2,,
Gatas Parlament,Bombefly/Rackers Delight,12’’,2004,TRUE,FALSE,FALSE,,,
GEEK,Demo,Demo EP,2004,FALSE,FALSE,FALSE,,,
Grunnmuren,Ekko! Ekko!,Demo CD,2004,FALSE,FALSE,FALSE,,,
Hajoken & Makaber,Negativitetsteorien,Mixtape,2004,FALSE,FALSE,FALSE,,,
Hawk & Bølla,Planet Follo: Spring Break Vol. 2,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Jakobsen,Debris from a fragmented culture volume 4,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Jakobsen,Lastebil (debris from a fragmented culture volume 1),Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Jakobsen,Oddetall! (debris from a fragmented culture volume 3),Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Jakobsen,Polarbjørn (debris from a fragmented culture volume 2),Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Join The Revolution,Prakka Vol. 2,CD,2004,TRUE,FALSE,FALSE,,,
Jaa9 & Onkl P,Stank Ass Ho 2,CDS,2004,FALSE,FALSE,FALSE,,,
Jaa9 & Onkl P,Sjåre Brymæ,CD,2004,TRUE,FALSE,FALSE,,,
Jaa9 & Onkl P,Kjendisparty,CDS,2004,TRUE,FALSE,FALSE,,,
Karpe Diem,Glasskår EP,EP CD,2004,TRUE,FALSE,FALSE,,,
Ken Ring & Tommy Tee,BB Berättelsen,CD,2004,FALSE,FALSE,FALSE,,,
Kids Love Wax,Evig Ferie. Me And My Beach,Mixtape,2004,FALSE,FALSE,FALSE,,,
Kleen Cut,Hands Up,CDS,2004,FALSE,FALSE,FALSE,,,
Kleen Cut,Hands Up,CD,2004,FALSE,FALSE,FALSE,,,
Kleen Cut,Tell Me How (Embrace Me),DEMO CDS,2004,TRUE,FALSE,FALSE,,,
Klovner I Kamp,20 000 Tomme Seter,CDS,2004,TRUE,FALSE,TRUE,,,
Kompani69,Kald På Føttern presenterer Trick Shot,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Kompani69,Trick Shot,Mixtape,2004,FALSE,FALSE,FALSE,,,
MadCon,Doo Wop,CDS,2004,TRUE,FALSE,FALSE,,,
MadCon,It's All A MadCon,CD,2004,TRUE,FALSE,FALSE,,,
MC Optik,Optical Illusion EP,CD EP,2004,TRUE,TRUE,FALSE,,,
Nabolaget,Nabovarsel,Demo CD,2004,FALSE,FALSE,FALSE,,,
Nasty Kutt,Homework,Mix CD,2004,FALSE,FALSE,FALSE,,,
Noora,All I Am,,2004,FALSE,FALSE,FALSE,,,
Noora,Zeros,CD,2004,FALSE,FALSE,FALSE,,,
Paperboys,Ra Ra Remix,CDS,2004,FALSE,FALSE,FALSE,,,
Paperboys,One Day,CDS,2004,TRUE,FALSE,FALSE,,,
Paperboys,Ra Ra,CDS,2004,TRUE,FALSE,FALSE,,,
Paperboys,Ra Ra,Promo CD,2004,TRUE,FALSE,FALSE,,,
Pass It,The Omen,Mixtape,2004,TRUE,FALSE,FALSE,,,
Pass It Records,The Omen Mixtape,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Planet Follo,Spring Break Vol. 2,Mix CD,2004,FALSE,FALSE,FALSE,,,
PS,Demo,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Ratpack,Demo,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Ravi & DJ Løv,Dødsøt,CD,2004,FALSE,FALSE,FALSE,,,
Ravi & DJ Løv,Lekr butik,,2004,FALSE,FALSE,FALSE,,,
Ronnie Jacobsen vs. Salvador,Adjust Your Stereo,,2004,FALSE,FALSE,FALSE,,,
Ronnie Jacobsen vs. Salvador,Told You So/Big Desert,CDS,2004,TRUE,FALSE,FALSE,,,
SA-G,G-Unit Takeover,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Samlealbum,Topp Allstars - Norsk HipHop,EP CD,2004,TRUE,FALSE,FALSE,2,,
Samsaya,Shedding Skin,,2004,FALSE,FALSE,FALSE,,,
Samsaya,Ever Been Had?,CDS,2004,TRUE,FALSE,FALSE,,,
Sander,Mellom fjord og fjell,,2004,FALSE,FALSE,FALSE,,,
Sander,Mellom fjord og fjell,CD,2004,FALSE,FALSE,FALSE,,,
Side Brok,Høge Brelle,CD,2004,TRUE,FALSE,FALSE,2,,
Smalltown Emcees,Reppin' The Lost,CD,2004,FALSE,FALSE,FALSE,,,
Spetakkel,Hansadansen,CDS,2004,TRUE,FALSE,FALSE,,,
Spetakkel,Hansadansen EP,CD EP,2004,TRUE,FALSE,FALSE,,3/3/16,
Stress.no/Puma,Give Dem A Run,Mixtape,2004,FALSE,FALSE,FALSE,,,
Ståle Stiil,Hørt om mæ?,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Teddy Touch,ForgetAboutIt,Mixtape,2004,FALSE,FALSE,FALSE,,,
Teddy Touch,Forgetdaboutit,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Terminator André & Ragnar Fela,Urban folkemusikk vol. 2,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
The Fifty 50 Bunch,The Filthy Fifty EP,EP CD,2004,FALSE,FALSE,FALSE,,,
Thirsty Fishes,Mixtape Vol. 2,Mixtape,2004,FALSE,FALSE,FALSE,,,
Tier’n & Lars,Frykt og Avsky i Bergen,Mixtape,2004,FALSE,FALSE,FALSE,,,
Tommy Tee,BB Berättelsen,CDS,2004,FALSE,FALSE,FALSE,,,
Tommy Tee,H.E.A.T. The Final Chapter,Mixtape,2004,FALSE,FALSE,FALSE,,,
Tommy Tee,H.E.A.T. Volume 6,Mixtape,2004,FALSE,FALSE,FALSE,,,
Tommy Tee,Back To Work - The Official TP Mixtape Vol. 1,CD,2004,TRUE,FALSE,FALSE,,,
Tommy Tee & Ken Ring,2 Legender Utan Penger,CD,2004,FALSE,FALSE,FALSE,,,
Tommy Tee & Ken Ring,2 Legender Utan Penger,CD PROMO,2004,TRUE,FALSE,FALSE,,,
Tungtvann,5 År Og Like Langt,DVD,2004,FALSE,FALSE,FALSE,,,
Tungtvann,III - Folket Bak Nordavind,LP /CD,2004,FALSE,FALSE,FALSE,,,
Tungtvann,Slæpp dæ laus,CD,2004,FALSE,FALSE,FALSE,,,
Tungtvann,Velkommen Til Tungtland,Mixtape,2004,FALSE,FALSE,FALSE,,,
Tungtvann,Velkommen til Tungtland,Mixape/demo/samle,2004,FALSE,FALSE,FALSE,,,
Tungtvann,Slæpp Dæ Laus,CDS,2004,TRUE,FALSE,FALSE,,,
Tungtvann,III – Folket Bak Nordavind,CD,2004,TRUE,FALSE,FALSE,2,,
URO,Frank Schwindel Svindler Uro På En Høyst Schwindelaktig Måte,CD EP,2004,TRUE,FALSE,FALSE,,,
Various,Uno,CDA,2004,TRUE,FALSE,FALSE,,,
Whimsical,Coming Home,EP CD,2004,TRUE,FALSE,FALSE,,,
Winta,First,CDS,2004,FALSE,FALSE,FALSE,,,
Winta,Hot Romance (Rok Wit You),CD,2004,FALSE,FALSE,FALSE,,,
Winta,I Want U,CD,2004,FALSE,FALSE,FALSE,,,
190 Snublefot,På Strømpelesten,Demo CD,2005,FALSE,FALSE,FALSE,,,
Andyboy,Verden uten Meg,CDS,2005,FALSE,FALSE,FALSE,,,
Andyboy,Candela Reggaeton Mixtape Vol. 1,Mix CD,2005,FALSE,FALSE,FALSE,,,
Armageddish Fetish,The Heimert Made Me Do It,CD EP,2005,FALSE,FALSE,FALSE,,,
Big Paulie,Bright Lights. Big City,Mixtape,2005,FALSE,FALSE,FALSE,,,
Cast,Kela,CDS,2005,TRUE,FALSE,FALSE,2,,
Cast,Problembarn,CDA,2005,TRUE,FALSE,FALSE,,,
Cast,Problembarn Sampler,CD PROMO,2005,TRUE,FALSE,FALSE,,,
Chem & Dets,Professional Shit Talkin,Mixtape,2005,FALSE,FALSE,FALSE,,,
Diaz,Ikke Alene,CDS,2005,TRUE,FALSE,FALSE,,,
Diaz,Mitt Stille Vann,CDS,2005,TRUE,FALSE,FALSE,,,
Don Martin,Situation Normal All Fucked Up,CD,2005,TRUE,FALSE,TRUE,,,
Evig Poesi,I Krig Og Kjerlighet,CD,2005,FALSE,FALSE,FALSE,,,
Gatas Parlament,Antiamerikansk Dans Remix,CDS,2005,FALSE,FALSE,FALSE,,,
Herreløse,La Vida Loka,Mixtape,2005,FALSE,FALSE,FALSE,,,
Hvite Løgner,Come On,CDS,2005,FALSE,FALSE,FALSE,,,
Kleen Cut,Rookie Of The Year,CD,2005,TRUE,FALSE,FALSE,,,
