Artist,Album,Type,Year,Physical,Digital,Discogs,Quantity,Date Aquired,Notes
Tommy Tee,Streetbeats 96,CDS,1996,TRUE,FALSE,FALSE,,,
Tommy Tee & Diaz,Stikking Vol. 2,Mixtape,1996,FALSE,FALSE,FALSE,,,
Warlocks,V.O.T Click / Harcore Slickness,CDS,1996,FALSE,FALSE,FALSE,,,
Darkside Of The Force,Backflash,CDS,1997,FALSE,FALSE,TRUE,,,
DJ Andy,Original Funk,Mixape/demo/samle,1997,FALSE,FALSE,FALSE,,,
DJ Andy,Summer Madness,Mixape/demo/samle,1997,FALSE,FALSE,FALSE,,,
DJ Andy,Vinyl Rules,Mixape/demo/samle,1997,FALSE,FALSE,FALSE,,,
DJ White Shadow,The White Shadow,Mixape/demo/samle,1997,FALSE,FALSE,FALSE,,,
Flava To Da Bone,Monday Night,CD,1997,FALSE,FALSE,FALSE,,,
Flava To Da Bone,Think It Over,CD,1997,FALSE,FALSE,FALSE,,,
Flava To Da Bone,Closer,CD,1997,TRUE,FALSE,FALSE,,,
Gatas Parlament,Naturkraft,CDS,1997,TRUE,FALSE,FALSE,3,,
Helén Eriksen,Low Rain In Pain – The Remix E.P.,CD,1997,FALSE,FALSE,FALSE,,,
Mr. Pimp-Lotion,The Everlasting Bullshit Continues…,Mixape/demo/samle,1997,FALSE,FALSE,FALSE,,,
N-Light-N,One In A Million,Promo CDS,1997,TRUE,FALSE,FALSE,,,
N-Light-N,Fresh (In any season),CDS,1997,TRUE,FALSE,FALSE,2,,
N-Light-N,Deep Green,CD,1997,TRUE,FALSE,FALSE,,,
Oslo Fluid,Beats & Rhymes EP,12’’,1997,FALSE,FALSE,FALSE,,,
Oslo Fluid,Dynamite,CD,1997,FALSE,FALSE,FALSE,,,
Oslo Fluid,Na. Na. Na,CDS,1997,TRUE,FALSE,FALSE,,,
Oslo Fluid,Vibe Goes On,CDS,1997,TRUE,FALSE,FALSE,,,
Oslo's Most Wanted,Hard To Kill,CD,1997,FALSE,FALSE,TRUE,,,
Pacifist,Smart MC,Mixape/demo/samle,1997,FALSE,FALSE,FALSE,,,
Pen Jakke,Hekta På Glass!,CD EP,1997,FALSE,TRUE,FALSE,,,
Representin' 2000,When Starrs Collide,CD,1997,FALSE,FALSE,FALSE,,,
Representin' 2000,When Starrs Collide,,1997,FALSE,FALSE,FALSE,,,
Teddy Touch,Real Live Shit vol. 2,Mixape/demo/samle,1997,FALSE,FALSE,FALSE,,,
Tommy Tee,Beasts From The East Vol. 2,Mixtape,1997,FALSE,FALSE,FALSE,,,
Tommy Tee,Beasts From The East Vol. 3,Mixtape,1997,FALSE,FALSE,FALSE,,,
Tommy Tee & Diaz,T&D Basement Hits,CD,1997,TRUE,FALSE,FALSE,,,
URO,UROkkelig,CD Demo,1997,FALSE,TRUE,FALSE,,,
Warlocks,The Way My Mind Works,CDS,1997,FALSE,FALSE,FALSE,,,
Warlocks,Top Notch,CDS,1997,FALSE,FALSE,FALSE,,,
Warlocks,Top Notch,EP 12’’,1997,TRUE,FALSE,FALSE,,,
Warlocks,Flashbacks,CDS,1997,TRUE,FALSE,FALSE,,,
Warlocks,Flashbacks Pt. 1 & 2,CDS,1997,TRUE,FALSE,FALSE,,,
$cenic,Party Right,CDS,1998,TRUE,FALSE,FALSE,,,
Alien Breed,Alien Breed Demo,Demo CD,1998,FALSE,FALSE,FALSE,,,
Da Eastside Flow,I Wanna Boom,CD,1998,FALSE,FALSE,FALSE,,,
Darkside Of The Force,Darkside Of The Force,CD,1998,FALSE,FALSE,TRUE,,,
Darkside Of The Force,Funk-O-Theque,CDS,1998,FALSE,FALSE,FALSE,,,
Diverse artister,Råtape vol. 1,,1998,FALSE,FALSE,FALSE,,,
DJ Andy,Presents Old School Hip-Hop and Original Funk,Mixape/demo/samle,1998,FALSE,FALSE,FALSE,,,
DJ White Shadow,Turntable Talk,Mixape/demo/samle,1998,FALSE,FALSE,FALSE,,,
Flava To Da Bone,Even If The Rain,CD,1998,FALSE,FALSE,FALSE,,,
Flava To Da Bone,Why You Move So Fast – For Rødrussen ’94,CD,1998,FALSE,FALSE,FALSE,,,
Gatas Parlament,Autobahn Til Union,CD,1998,FALSE,FALSE,FALSE,,,
Grundlag,Reaksjon,,1998,FALSE,FALSE,FALSE,,,
Helén Eriksen,Lovevirgin,CD,1998,FALSE,FALSE,FALSE,,,
Jester,Sience and Fiction,CD,1998,FALSE,FALSE,TRUE,,,
Multicyde,Multicydal,Mixape/demo/samle,1998,FALSE,FALSE,FALSE,,,
Multicyde,The Claptrap,CD,1998,FALSE,FALSE,FALSE,,,
Multicyde,The Claptrap,CDS,1998,TRUE,FALSE,FALSE,,,
N-Light-N,Dedication,CD,1998,FALSE,FALSE,FALSE,,,
N-Light-N,Dedication,CDS,1998,TRUE,FALSE,FALSE,,,
Noora,Need You,CD,1998,FALSE,FALSE,FALSE,,,
Noora,Need You,12’’,1998,FALSE,FALSE,FALSE,,,
Noora,What About Love,CDS,1998,TRUE,FALSE,FALSE,,,
Pass The Mic ’98 (MC-samler),Pass The Mic ’98 (MC-samler),Mixape/demo/samle,1998,FALSE,FALSE,FALSE,,,
Rappers Delight ’98,Rappers Delight ’98 (live-MC),Mixape/demo/samle,1998,FALSE,FALSE,FALSE,,,
Risin' Sons,So Fine,CDS,1998,TRUE,FALSE,FALSE,,,
Ståle Stiil,Let’s Go Nintendo,MC,1998,FALSE,FALSE,FALSE,,,
Teddy Touch,Represent,Mixape/demo/samle,1998,FALSE,FALSE,FALSE,,,
Tommy Tee,Bonds. Beats And Beliefs,CD,1998,TRUE,FALSE,FALSE,2,,
Tommy Tee,It's All True,CDS,1998,TRUE,FALSE,FALSE,,,
Tommy Tee,Takin’ Ova,CDS,1998,TRUE,FALSE,FALSE,,,
Various,Schpaaa Soundtrack,CDA,1998,TRUE,FALSE,FALSE,,,
Warlocks,Mic Knight,CD,1998,TRUE,FALSE,FALSE,,,
Warlocks,Those Who Never Saw This,CDS,1998,TRUE,FALSE,FALSE,,,
Warlocks,Tecniques and Styles '99,CDS,1998,TRUE,FALSE,FALSE,,,
Wolverine,From The Shadows Of The Underground,CD,1998,FALSE,FALSE,FALSE,,,
Wolverine,From The Shadows Of The Underground Demo,Demo CD,1998,FALSE,FALSE,FALSE,,,
$cenic,Again,CD PROMO,1999,FALSE,FALSE,TRUE,,,
$cenic,Aquarius,CD,1999,TRUE,FALSE,FALSE,,,
$cenic,Broken Wings,CDS,1999,TRUE,FALSE,FALSE,,,
$cenic,Without You,CDS,1999,TRUE,FALSE,FALSE,,,
Crazy,Way Of Life,,1999,FALSE,FALSE,FALSE,,,
Diverse artister,Edutainment – The Ultimate R&B & Hip-Hop Compilation,CD,1999,FALSE,FALSE,FALSE,,,
Diverse artister,Rhymers Bench,CD,1999,FALSE,FALSE,TRUE,,,
DJ Andy,Crazy Cutz,Mixape/demo/samle,1999,FALSE,FALSE,FALSE,,,
